generator_scope,n,eta,alpha_mean_polarization,alpha_mean_merlin_dual_rail,alpha_mean_abs_delta,alpha_std_polarization,alpha_std_merlin_dual_rail,alpha_std_abs_delta,herald_failure_prob_mean_polarization,herald_failure_prob_mean_merlin_dual_rail,herald_failure_prob_mean_abs_delta,herald_failure_prob_std_polarization,herald_failure_prob_std_merlin_dual_rail,herald_failure_prob_std_abs_delta,herald_success_rate_mean_polarization,herald_success_rate_mean_merlin_dual_rail,herald_success_rate_mean_abs_delta,n_draws_polarization,n_draws_merlin_dual_rail,n_draws_abs_delta,tvd_to_lossless_mean_polarization,tvd_to_lossless_mean_merlin_dual_rail,tvd_to_lossless_mean_abs_delta,tvd_to_lossless_std_polarization,tvd_to_lossless_std_merlin_dual_rail,tvd_to_lossless_std_abs_delta,tvd_to_product_marginals_mean_polarization,tvd_to_product_marginals_mean_merlin_dual_rail,tvd_to_product_marginals_mean_abs_delta,tvd_to_product_marginals_std_polarization,tvd_to_product_marginals_std_merlin_dual_rail,tvd_to_product_marginals_std_abs_delta,tvd_to_uniform_mean_polarization,tvd_to_uniform_mean_merlin_dual_rail,tvd_to_uniform_mean_abs_delta,tvd_to_uniform_std_polarization,tvd_to_uniform_std_merlin_dual_rail,tvd_to_uniform_std_abs_delta
weight1,5,0.8,0.8540934494041744,0.6397144022195906,0.21437904718458378,0.45131810914580694,0.19660331768515277,0.2547147914606542,,,,,,,,,,5,5,0,0.33615999999999996,0.33615986453094565,1.3546905430761313e-07,9.614813431917819e-17,2.133264718484016e-08,2.1332647088692026e-08,0.3361599999999999,0.33616007287830596,7.287830605662293e-08,9.288792252416251e-17,1.1776023307298272e-08,1.177602321441035e-08,0.4840059106692099,0.45970259179205186,0.02430331887715803,0.06732893788788989,0.041376284861205016,0.025952653026684876
weight1,5,0.6,0.04809700402628633,0.03602457116833493,0.012072432857951405,0.025415308978033884,0.011071425152261607,0.014343883825772277,,,,,,,,,,5,5,0,0.46111999999999986,0.4611198062540082,1.9374599163901607e-07,1.3136335981433191e-16,3.062001165769057e-08,3.062001152632721e-08,0.46112000000000003,0.4611200146013686,1.4601368558686545e-08,8.233634315563857e-17,2.47301981703812e-09,2.473019734701777e-09,0.4656402310407561,0.4614904112750479,0.004149819765708163,0.005806307736491485,0.0007407939559813813,0.005065513780510103
weight1,5,0.35,0.00021942492802710492,0.00016434887518103526,5.5076052846069655e-05,0.00011594801913740554,5.050930846169118e-05,6.543871067571436e-05,,,,,,,,,,5,5,0,0.49737390625,0.4973736989511556,2.07298844423498e-07,1.0235750533041807e-16,3.2890892571954655e-08,3.289089246959715e-08,0.49737390625,0.49737390729851594,1.0485159407380706e-09,3.510833468576701e-17,1.8903949305712218e-10,1.890394579487875e-10,0.49737390625,0.49737390729851594,1.0485159407380706e-09,0.0,1.8903946876918962e-10,1.8903946876918962e-10
weight1,5,0.05,7.767934670520655e-13,5.818168594665537e-13,1.9497660758551188e-13,4.1047142908229004e-13,1.7880967578562628e-13,2.3166175329666375e-13,,,,,,,,,,5,5,0,0.49999984375000006,0.49999963540270914,2.0834729091978588e-07,1.137640067256873e-16,3.3077797624938955e-08,3.3077797511174945e-08,0.49999984374999995,0.4999998437500695,6.955547249276606e-14,5.551115123125783e-17,1.126920121776699e-14,1.1213690066535732e-14,0.49999984375000006,0.4999998437500695,6.944445019030354e-14,5.551115123125783e-17,1.1226463016386011e-14,1.1170951865154753e-14
weight1,6,0.99,16.204775709336758,10.427412225638644,5.777363483698114,4.97447803490084,4.673416630894515,0.3010614040063251,,,,,,,,,,5,5,0,0.029259925299500056,0.029259903201281766,2.2098218289967608e-08,5.150463821007161e-16,2.4234731576976914e-09,2.4234726426513094e-09,0.02925992529950004,0.029260165756270395,2.4045677035622326e-07,5.64584670594828e-16,5.307199295473679e-08,5.307199239015212e-08,0.7987530334843391,0.7729130340271444,0.02583999945719473,0.04695672103199917,0.050179488718694286,0.003222767686695119
weight1,6,0.95,9.878794530751968,6.35678334579545,3.5220111849565177,3.0325533216859033,2.84901903598851,0.18353428569739316,,,,,,,,,,5,5,0,0.13245405468750007,0.13245400313968655,5.1547813517682783e-08,2.351865387363856e-16,1.320364325558223e-08,1.320364302039569e-08,0.13245405468750007,0.1324542656946752,2.110071751215692e-07,1.7858723324765583e-16,4.0656479257363563e-08,4.065647907877633e-08,0.7082455211880426,0.6854799144375894,0.02276560675045325,0.04498512997341797,0.047470988483978356,0.002485858510560386
weight1,6,0.9,5.163340935078901,3.322494406198145,1.840846528880756,1.585022003942665,1.4890943493746476,0.09592765456801744,,,,,,,,,,5,5,0,0.23427949999999997,0.23427939227046174,1.0772953823456888e-07,1.0235750533041807e-16,2.3345393836812493e-08,2.3345393734454987e-08,0.23427949999999997,0.23427965482545035,1.5482545037692752e-07,1.2899625854847775e-16,3.046899423452869e-08,3.0468994105532435e-08,0.6228033785529797,0.6028896334565891,0.019913745096390656,0.038420152558599194,0.04282230194968766,0.004402149391088468
weight1,6,0.8,1.2563207506168927,0.8084143923113324,0.44790635830556036,0.3856603812870457,0.3623197397060633,0.023340641580982424,,,,,,,,,,5,5,0,0.36892800000000003,0.3689278068234228,1.9317657723449955e-07,1.4261072965499198e-16,3.83828717004155e-08,3.838287155780477e-08,0.36892800000000003,0.36892806937841144,6.937841140475243e-08,6.568167990716596e-17,1.539444539300044e-08,1.5394445327318758e-08,0.5278511543093141,0.5012399931803103,0.026611161129003746,0.02839710802219236,0.033673640183461084,0.0052765321612687245
weight1,6,0.6,0.03979565835169515,0.02560762055287937,0.014188037798815781,0.012216313999388766,0.011476967916176698,0.0007393460832120675,,,,,,,,,,5,5,0,0.47667199999999993,0.4766717489547541,2.5104524581376353e-07,1.2899625854847775e-16,5.123750311149995e-08,5.1237502982503696e-08,0.47667200000000004,0.4766720115097427,1.1509742658954991e-08,7.850462293418876e-17,2.494803718229176e-09,2.494803639724553e-09,0.48244608459823224,0.4784678517731094,0.003978232825122829,0.003202216411712109,0.002279976583523452,0.000922239828188657
weight1,6,0.35,6.177848037887778e-05,3.9753072376748885e-05,2.2025408002128895e-05,1.8964513868415542e-05,1.7816756612932527e-05,1.1477572554830145e-06,,,,,,,,,,5,5,0,0.49908086718750005,0.4990806051416736,2.6204582648237107e-07,8.95090418262362e-17,5.3636243351386244e-08,5.36362432618772e-08,0.49908086718750005,0.49908086769666216,5.091621013697534e-10,5.551115123125783e-17,9.522230889583758e-11,9.522225338468635e-11,0.49908086718749994,0.49908086769666227,5.091623234143583e-10,5.551115123125783e-17,9.522223622230098e-11,9.522218071114975e-11
