n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms,sigma,bin_spacing
2,weight1,uniform,2,200,-0.01242389028716552,0.10538380839324812,0.3246287239189535,0.013973608771379323,0.29157679468188796,0.32486637474985874,1.0,1.2000000000000002
3,weight1,uniform,3,300,0.01985579763343652,0.053978773560877116,0.23233332425822412,0.03926605328953662,0.18875808308443762,0.23318024414717708,1.0,0.4000000000000001
4,weight1,uniform,3,300,0.007379100589766126,0.031802610651616756,0.17833286475469617,0.004524921702800486,0.14552020436048924,0.17848546657117673,1.0,0.4000000000000001
5,weight1,uniform,3,300,-0.0008971582022633754,0.011768470602023347,0.10848258202137036,0.0017450376061816874,0.07776035398504443,0.10848629173708187,1.0,0.17142857142857146
6,weight1,uniform,3,300,-0.0026744996096845133,0.009831514442189417,0.09915399357660495,-0.004000713123293554,0.0679629426492492,0.09919005691273505,1.0,0.17142857142857146
2,weight1,small_angle,2,200,-0.0007649166360251473,0.00029700537418464847,0.017233843859819794,-0.0016555867133979342,0.01501692740213727,0.017250810753257843,3.0,1.2000000000000002
3,weight1,small_angle,3,300,0.00039551101214695816,0.00015848603024808813,0.012589123490064276,0.0006027891146290983,0.010339646054658199,0.012595334819242307,3.0,0.4000000000000001
4,weight1,small_angle,3,300,-0.00011363598027376451,9.654110567734683e-05,0.00982553335332728,-0.000691185436126777,0.008143047790843534,0.009826190452731904,3.0,0.4000000000000001
5,weight1,small_angle,3,300,5.575459578093108e-05,4.580287784467203e-05,0.0067677823431809645,-0.0001531672239412932,0.005280276613852459,0.006768011999074967,3.0,0.17142857142857146
6,weight1,small_angle,3,300,0.000380894662102744,4.2116114961084266e-05,0.006489692978953955,0.0003022922925441687,0.0046544986760017025,0.006500861151009351,3.0,0.17142857142857146
2,weight1,uniform,2,200,-0.0016920585103532076,0.0029926628512407833,0.054705236049584716,0.002609687167766231,0.04932070607292646,0.05473139787401051,3.0,1.2000000000000002
3,weight1,uniform,3,300,0.003099109340274954,0.0014190233997561136,0.037669926994302945,0.007212517495059656,0.030766767059264358,0.0377971940553673,3.0,0.4000000000000001
4,weight1,uniform,3,300,0.0010385462534995885,0.0007033055199335323,0.02651990799255405,0.0008132267287994106,0.02177154907767203,0.02654023545965993,3.0,0.4000000000000001
5,weight1,uniform,3,300,4.22109002195895e-05,0.0002557997954251108,0.015993742383354524,0.000255996300656985,0.011504382690376442,0.015993798085045596,3.0,0.17142857142857146
6,weight1,uniform,3,300,-0.0003933525666793968,0.0002004714683518702,0.014158794735141483,-0.0006297288652550725,0.009818245630500403,0.014164257643575377,3.0,0.17142857142857146
