n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms,sigma,bin_spacing
3,mixed,uniform,3,300,-0.0017577498427622006,0.0009729266091984964,0.031191771498241268,-4.938277916627468e-06,0.016375634149480043,0.03124125947698375,3.0,0.4000000000000001
4,mixed,uniform,3,300,0.0005360805664568582,0.00040817950043731225,0.02020345268604632,1.381380178115314e-05,0.012909714575339666,0.020210563644071013,3.0,0.4000000000000001
5,mixed,small_angle,3,300,3.834266776178519e-05,1.2270829205268601e-05,0.0035029743369411944,1.232735610673062e-06,0.0018420803458258864,0.003503184175209704,3.0,0.17142857142857146
5,mixed,uniform,3,300,-0.000125818216352525,0.00011884276422307378,0.010901502842410022,-2.9989891080687116e-06,0.005212478998567051,0.010902228875172266,3.0,0.17142857142857146
2,mixed,small_angle,2,200,-5.721419856187184e-07,7.744263999737748e-11,8.800149998572608e-06,-1.2700893422386981e-06,7.705200375642504e-06,8.818729299002505e-06,9.0,1.2000000000000002
3,mixed,small_angle,3,300,-3.6300097219372415e-06,1.4764951306041582e-06,0.001215111159772701,2.0062994546682016e-08,0.0006252438014174265,0.0012151165818861743,9.0,0.4000000000000001
4,mixed,small_angle,3,300,1.9815460096101677e-06,6.369362743596702e-07,0.0007980828743681136,-5.661700915268661e-08,0.0005298650474804393,0.0007980853343372864,9.0,0.4000000000000001
2,mixed,uniform,2,200,5.739226724995636e-07,2.9742047027369806e-10,1.7245882704973326e-05,1.7093553340685424e-07,1.258816883299666e-05,1.7255429797826164e-05,9.0,1.2000000000000002
3,mixed,uniform,3,300,-0.0002050555490487377,1.3365994291896655e-05,0.003655953267192656,-6.316581095373871e-08,0.0019062545152922286,0.003661699341848309,9.0,0.4000000000000001
4,mixed,uniform,3,300,6.103303011449561e-05,5.465087809295376e-06,0.002337752726294074,1.825555757037794e-07,0.00148910870496571,0.00233854930246517,9.0,0.4000000000000001
5,mixed,small_angle,3,300,4.397194154639822e-06,1.6374914418781567e-07,0.0004046592939595181,1.1358671631047257e-08,0.0002130468976795342,0.0004046831841135103,9.0,0.17142857142857146
5,mixed,uniform,3,300,-1.410917606972875e-05,1.5844095136254478e-06,0.001258733297257782,-2.9029537576704927e-08,0.0006000170458245497,0.0012588123698450116,9.0,0.17142857142857146
